"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"31","LOC111136699","GO:0007158","neuron cell-cell adhesion",9,1,0.04,0.0401,"Biological Processes",0.111111111111111
"32","LOC111136699","GO:0048488","synaptic vesicle endocytosis",18,2,0.08,0.003,"Biological Processes",0.111111111111111
"33","LOC111136699","GO:0097104","postsynaptic membrane assembly",9,1,0.04,0.0401,"Biological Processes",0.111111111111111
"34","LOC111136699","GO:0097105","presynaptic membrane assembly",9,1,0.04,0.0401,"Biological Processes",0.111111111111111
"35","LOC111137079","GO:0043484","regulation of RNA splicing",36,2,0.16,0.0438,"Biological Processes",0.0555555555555556
"36","LOC111138435","GO:0042256","cytosolic ribosome assembly",8,1,0.04,0.0357,"Biological Processes",0.125
"37","LOC111106022","GO:0002116","semaphorin receptor complex",15,2,0.06,0.0018,"Cellular Components",0.133333333333333
"38","LOC111108439","GO:0002116","semaphorin receptor complex",15,2,0.06,0.0018,"Cellular Components",0.133333333333333
"39","LOC111109188","GO:0005669","transcription factor TFIID complex",18,2,0.08,0.0025,"Cellular Components",0.111111111111111
"40","LOC111118776","GO:0031462","Cul2-RING ubiquitin ligase complex",7,1,0.03,0.029,"Cellular Components",0.142857142857143
"41","LOC111120511","GO:0005669","transcription factor TFIID complex",18,2,0.08,0.0025,"Cellular Components",0.111111111111111
"42","LOC111122350","GO:0005604","basement membrane",6,1,0.03,0.0249,"Cellular Components",0.166666666666667
"43","LOC111122847","GO:0008180","COP9 signalosome",9,1,0.04,0.0371,"Cellular Components",0.111111111111111
"44","LOC111125533","GO:0005688","U6 snRNP",9,1,0.04,0.0371,"Cellular Components",0.111111111111111
"45","LOC111125533","GO:1990726","Lsm1-7-Pat1 complex",5,1,0.02,0.0208,"Cellular Components",0.2
"46","LOC111129890","GO:0000159","protein phosphatase type 2A complex",7,1,0.03,0.029,"Cellular Components",0.142857142857143
"47","LOC111130065","GO:0005697","telomerase holoenzyme complex",6,1,0.03,0.0249,"Cellular Components",0.166666666666667
"48","LOC111132132","GO:0030692","Noc4p-Nop14p complex",2,1,0.01,0.0084,"Cellular Components",0.5
"49","LOC111134663","GO:0030130","clathrin coat of trans-Golgi network vesicle",10,1,0.04,0.0412,"Cellular Components",0.1
"50","LOC111134663","GO:0030132","clathrin coat of coated pit",10,1,0.04,0.0412,"Cellular Components",0.1
"51","LOC111134663","GO:0071439","clathrin complex",2,1,0.01,0.0084,"Cellular Components",0.5
"52","LOC111099737","GO:0033743","peptide-methionine (R)-S-oxide reductase activity",4,1,0.01,0.0142,"Molecular Functions",0.25
"53","LOC111100729","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"54","LOC111100897","GO:0008253","5'-nucleotidase activity",11,1,0.04,0.0386,"Molecular Functions",0.0909090909090909
"55","LOC111102361","GO:0005096","GTPase activator activity",86,2,0.31,0.0378,"Molecular Functions",0.0232558139534884
"56","LOC111102665","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",460,5,1.64,0.0242,"Molecular Functions",0.0108695652173913
"57","LOC111106022","GO:0017154","semaphorin receptor activity",15,2,0.05,0.0013,"Molecular Functions",0.133333333333333
"58","LOC111107402","GO:0004407","histone deacetylase activity",14,1,0.05,0.0488,"Molecular Functions",0.0714285714285714
"59","LOC111107792","GO:0001223","transcription coactivator binding",1,1,0,0.0036,"Molecular Functions",1
"60","LOC111108148","GO:0004822","isoleucine-tRNA ligase activity",4,1,0.01,0.0142,"Molecular Functions",0.25
"61","LOC111108439","GO:0017154","semaphorin receptor activity",15,2,0.05,0.0013,"Molecular Functions",0.133333333333333
"62","LOC111111116","GO:0052856","NADHX epimerase activity",8,1,0.03,0.0282,"Molecular Functions",0.125
"63","LOC111116156","GO:0005415","nucleoside:sodium symporter activity",14,1,0.05,0.0488,"Molecular Functions",0.0714285714285714
"64","LOC111116412","GO:0022841","potassium ion leak channel activity",11,1,0.04,0.0386,"Molecular Functions",0.0909090909090909
"65","LOC111117505","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",460,5,1.64,0.0242,"Molecular Functions",0.0108695652173913
"66","LOC111118036","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"67","LOC111118411","GO:0097200","cysteine-type endopeptidase activity involved in execution phase of apoptosis",9,1,0.03,0.0317,"Molecular Functions",0.111111111111111
"68","LOC111118850","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"69","LOC111119752","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"70","LOC111120511","GO:0016251","RNA polymerase II general transcription initiation factor activity",34,2,0.12,0.0065,"Molecular Functions",0.0588235294117647
"71","LOC111120526","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"72","LOC111121590","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",460,5,1.64,0.0242,"Molecular Functions",0.0108695652173913
"73","LOC111122175","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"74","LOC111122350","GO:0005201","extracellular matrix structural constituent",9,1,0.03,0.0317,"Molecular Functions",0.111111111111111
"75","LOC111124421","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"76","LOC111125411","GO:0005509","calcium ion binding",846,8,3.02,0.0103,"Molecular Functions",0.00945626477541371
"77","LOC111125856","GO:0005096","GTPase activator activity",86,2,0.31,0.0378,"Molecular Functions",0.0232558139534884
"78","LOC111127799","GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",7,1,0.02,0.0247,"Molecular Functions",0.142857142857143
"79","LOC111129264","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",460,5,1.64,0.0242,"Molecular Functions",0.0108695652173913
"80","LOC111129890","GO:0072542","protein phosphatase activator activity",6,1,0.02,0.0212,"Molecular Functions",0.166666666666667
"81","LOC111130064","GO:0030215","semaphorin receptor binding",4,1,0.01,0.0142,"Molecular Functions",0.25
"82","LOC111130064","GO:0045499","chemorepellent activity",4,1,0.01,0.0142,"Molecular Functions",0.25
"83","LOC111130065","GO:0070034","telomerase RNA binding",6,1,0.02,0.0212,"Molecular Functions",0.166666666666667
"84","LOC111130101","GO:0016251","RNA polymerase II general transcription initiation factor activity",34,2,0.12,0.0065,"Molecular Functions",0.0588235294117647
"85","LOC111130344","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",460,5,1.64,0.0242,"Molecular Functions",0.0108695652173913
"86","LOC111134518","GO:0050659","N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity",11,1,0.04,0.0386,"Molecular Functions",0.0909090909090909
"87","LOC111134663","GO:0032051","clathrin light chain binding",3,1,0.01,0.0107,"Molecular Functions",0.333333333333333
"88","LOC111135721","GO:0005220","inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",5,1,0.02,0.0177,"Molecular Functions",0.2
"89","LOC111135721","GO:0070679","inositol 1,4,5 trisphosphate binding",14,1,0.05,0.0488,"Molecular Functions",0.0714285714285714
"90","LOC111136420","GO:0036374","glutathione hydrolase activity",6,1,0.02,0.0212,"Molecular Functions",0.166666666666667
"91","LOC111136699","GO:0042043","neurexin family protein binding",14,1,0.05,0.0488,"Molecular Functions",0.0714285714285714
